Circle, Position (x y), Radius (px)
1 , (41 466), 0.00
2 , (41 470), 0.00
3 , (42 464), 0.00
4 , (42 465), 0.00
5 , (42 471), 0.00
6 , (42 472), 0.00
7 , (43 463), 0.00
8 , (43 473), 0.00
9 , (44 463), 0.00
10 , (45 462), 0.00
11 , (45 473), 0.00
12 , (46 474), 0.00
13 , (48 474), 0.00
14 , (49 473), 0.00
15 , (49 462), 0.00
16 , (50 463), 0.00
17 , (51 473), 0.00
18 , (51 463), 0.00
19 , (52 472), 0.00
20 , (52 470), 0.00
21 , (52 466), 0.00
22 , (52 464), 0.00
23 , (53 469), 0.00
24 , (53 467), 0.00
